sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
PH0047-Cx	PH0051-Cx	860	0.8465	-2.54409e+03	5	141.327	12	0.04230	0.07776
PH0047-Cx	PH0055-C	851	0.9542	-2.30210e+03	4	0.001	0	0.00000	0.00000
PH0047-Cx	PH0057-C	885	0.8655	-2.61896e+03	5	93.021	4	0.02333	0.05041
PH0047-Cx	PH0059-C	904	0.8507	-2.73667e+03	5	9.841	2	0.08338	0.06962
PH0047-Cx	PH0060-C	840	0.8548	-2.66692e+03	4	0.001	0	0.00000	0.00000
PH0047-Cx	PH0064-C	832	0.8438	-2.67842e+03	5	250.434	4	0.01187	0.04963
PH0047-Cx	PH0163-C	907	0.8192	-2.87322e+03	5	535.893	2	0.00109	0.02621
PH0047-Cx	PH0167-C	899	0.8209	-2.84764e+03	5	555.132	2	0.00109	0.02335
PH0047-Cx	PH0171-C	866	0.8730	-2.69249e+03	5	278.849	4	0.01088	0.02042
PH0051-Cx	PH0055-C	782	0.9348	-1.97842e+03	3	0.000	0	0.00000	0.00000
PH0051-Cx	PH0057-C	618	0.4531	-1.55285e+03	3	0.000	0	0.65168	0.65210
PH0051-Cx	PH0059-C	855	0.8585	-2.45811e+03	5	110.286	8	0.04717	0.06088
PH0051-Cx	PH0060-C	826	0.8777	-2.36732e+03	5	193.388	4	0.01005	0.03940
PH0051-Cx	PH0064-C	795	0.8491	-2.37556e+03	5	120.042	2	0.01176	0.05203
PH0051-Cx	PH0163-C	866	0.8072	-2.50542e+03	5	65.256	6	0.08926	0.12864
PH0051-Cx	PH0167-C	858	0.8065	-2.48774e+03	5	66.046	8	0.09332	0.12923
PH0051-Cx	PH0171-C	835	0.8731	-2.37878e+03	5	193.786	4	0.01196	0.04229
PH0055-C	PH0057-C	807	0.9393	-2.05777e+03	3	0.000	0	0.00000	0.00000
PH0055-C	PH0059-C	802	0.8853	-2.21465e+03	5	25.079	2	0.03431	0.03956
PH0055-C	PH0060-C	756	0.9087	-2.12773e+03	5	0.007	0	0.00000	0.00000
PH0055-C	PH0064-C	761	0.9264	-2.13545e+03	5	0.000	0	0.00000	0.00000
PH0055-C	PH0163-C	868	0.9389	-2.31444e+03	5	0.001	0	0.00000	0.00000
PH0055-C	PH0167-C	863	0.9386	-2.30463e+03	5	0.001	0	0.00000	0.00000
PH0055-C	PH0171-C	746	0.8954	-2.10492e+03	5	33.606	4	0.06857	0.08559
PH0057-C	PH0059-C	871	0.8519	-2.53635e+03	5	85.060	8	0.05921	0.06379
PH0057-C	PH0060-C	839	0.8832	-2.43159e+03	5	130.175	2	0.00915	0.01950
PH0057-C	PH0064-C	834	0.8789	-2.45760e+03	5	89.391	2	0.01176	0.04281
PH0057-C	PH0163-C	884	0.8088	-2.58823e+03	5	66.558	6	0.08926	0.13100
PH0057-C	PH0167-C	875	0.8080	-2.56516e+03	5	67.302	6	0.08926	0.13103
PH0057-C	PH0171-C	860	0.8872	-2.44986e+03	5	201.425	4	0.01196	0.03980
PH0059-C	PH0060-C	855	0.8643	-2.61557e+03	5	0.000	0	0.00000	0.00000
PH0059-C	PH0064-C	858	0.8671	-2.64534e+03	5	100.934	6	0.03607	0.03831
PH0059-C	PH0163-C	935	0.8545	-2.77804e+03	5	70.994	4	0.04189	0.04699
PH0059-C	PH0167-C	926	0.8575	-2.75161e+03	5	61.636	4	0.04189	0.04176
PH0059-C	PH0171-C	830	0.8289	-2.61286e+03	5	232.762	6	0.01609	0.05956
PH0060-C	PH0064-C	791	0.8546	-2.50723e+03	5	283.435	4	0.00601	0.03878
PH0060-C	PH0163-C	878	0.8531	-2.69219e+03	5	163.072	4	0.01571	0.03228
PH0060-C	PH0167-C	875	0.8526	-2.68383e+03	5	163.431	4	0.01571	0.03225
PH0060-C	PH0171-C	794	0.8665	-2.48930e+03	5	348.844	2	0.00154	0.03339
PH0064-C	PH0163-C	873	0.8488	-2.71646e+03	5	104.516	0	0.00000	0.00005
PH0064-C	PH0167-C	866	0.8476	-2.70323e+03	5	104.483	0	0.00000	0.00005
PH0064-C	PH0171-C	778	0.8355	-2.47436e+03	5	207.649	6	0.01458	0.06088
PH0163-C	PH0167-C	560	0.0018	-1.47423e+03	3	0.000	0	1.00000	1.00000
PH0163-C	PH0171-C	880	0.8523	-2.69297e+03	5	0.054	0	0.00000	0.00000
PH0167-C	PH0171-C	872	0.8532	-2.67135e+03	5	0.038	0	0.00000	0.00000
